tau,t,r,theta,phi
0.00000000000000000000000000000000000000000000000000,3.0,1.0,1.5707963267948966192313216916397514420985846996876,0.0
0.01000000000000000020816681711721685132943093776703,3.010000000000000000208166817117216851329430937767,1.0030498492065805840021589668212160195780892299781,1.5707963267948966192313216916397514420985846996876,0.0099697593972865364431890963660215842830414977734756
0.02000000000000000041633363423443370265886187553406,3.0200000000000000004163336342344337026588618755341,1.0061987875100015665255143722056094767862518783399,1.5707963267948966192313216916397514420985846996876,0.019878097086178963040813836569048856559808802340589
0.02999999999999999888977697537484345957636833190918,3.0300000000000000006245004513516505539882928133011,1.0094458875936765097569515289522734618444616086435,1.5707963267948966192313216916397514420985846996876,0.029723651655103017664418590129414582742028148310615
0.04000000000000000083266726846886740531772375106812,3.0400000000000000008326672684688674053177237510681,1.0127902053105239511172656970995619226678430756349,1.5707963267948966192313216916397514420985846996876,0.039505127563326680825157854450483969542289832754618
0.05000000000000000277555756156289135105907917022705,3.0500000000000000010408340855860842566471546888351,1.0162307808593798484610682483534705801763799646063,1.5707963267948966192313216916397514420985846996876,0.049221295111954973970207297034691044281470359962368
0.05999999999999999777955395074968691915273666381836,3.0600000000000000012490009027033011079765856266022,1.0197666399521036726180994913427392260141816480425,1.5707963267948966192313216916397514420985846996876,0.058870990277358419511264794161657972506785050868766
0.07000000000000000666133814775093924254179000854492,3.0700000000000000014571677198205179593060165643692,1.0233967949687799363260733213870299641574896179755,1.5707963267948966192313216916397514420985846996876,0.068453114412905174849274992852378608414133486154788
0.08000000000000000166533453693773481063544750213623,3.0800000000000000016653345369377348106354475021362,1.0271202460985708139874762269827351985746327321711,1.5707963267948966192313216916397514420985846996876,0.07796663382517178419796814266428210962293068798891
0.08999999999999999666933092612453037872910499572754,3.0900000000000000018735013540549516619648784399033,1.0309359824639338501752870437457552006518834364637,1.5707963267948966192313216916397514420985846996876,0.08741057923106075146583389071813883262290503180723
0.10000000000000000555111512312578270211815834045410,3.1000000000000000020816681711721685132943093776703,1.0348429832260803020676324819538421364470785658015,1.5707963267948966192313216916397514420985846996876,0.096784045102455951978741414473566421664753521698171
0.11000000000000000055511151231257827021181583404541,3.1100000000000000022898349882893853646237403154373,1.0388402186697131928302438044722660419383654754423,1.5707963267948966192313216916397514420985846996876,0.10608618890520087567313359462543694495930014034424
0.11999999999999999555910790149937383830547332763672,3.1200000000000000024980018054066022159531712532043,1.0429266512652485136294966189332490657904147496684,1.5707963267948966192313216916397514420985846996876,0.11531623023929176712350462206150674086530335825583
0.13000000000000000444089209850062616169452667236328,3.1300000000000000027061686225238190672826021909714,1.0471012367068871159534805384808802631769170642314,1.5707963267948966192313216916397514420985846996876,0.12447344988724012179404218849521353922908050304704
0.14000000000000001332267629550187848508358001708984,3.1400000000000000029143354396410359186120331287384,1.0513629249250676734753312672359170846289567681575,1.5707963267948966192313216916397514420985846996876,0.13355718877757917614854375101114782818843038468524
0.14999999999999999444888487687421729788184165954590,3.1500000000000000031225022567582527699414640665054,1.0557106610719917338911220831502250002696236990514,1.5707963267948966192313216916397514420985846996876,0.14256684687046964866173720388459904564609753849355
0.16000000000000000333066907387546962127089500427246,3.1600000000000000033306690738754696212708950042725,1.0601433864790694787755863007331865388283019287565,1.5707963267948966192313216916397514420985846996876,0.15150188197230385626087741032705316391579312661949
0.17000000000000001221245327087672194465994834899902,3.1700000000000000035388358909926864726003259420395,1.0646600395852886006307823725934030269722975025557,1.5707963267948966192313216916397514420985846996876,0.16036180848611736108035095457260794077015217226253
0.17999999999999999333866185224906075745820999145508,3.1800000000000000037470027081099033239297568798065,1.0692595568356580129311879946470362319874448511445,1.5707963267948966192313216916397514420985846996876,0.16914619610449647862896095720014549452693367292808
0.19000000000000000222044604925031308084726333618164,3.1900000000000000039551695252271201752591878175735,1.0739408735490223374532330277192973526573464977899,1.5707963267948966192313216916397514420985846996876,0.17785466845152131483443369269670441539428135135524
0.20000000000000001110223024625156540423631668090820,3.2000000000000000041633363423443370265886187553406,1.0787029247546817528660525242406106970656285579129,1.5707963267948966192313216916397514420985846996876,0.18648690168011050763380488007660038092846286844615
0.20999999999999999222843882762390421703457832336426,3.2100000000000000043715031594615538779180496931076,1.0835446459973844095897681135293995766062497958547,1.5707963267948966192313216916397514420985846996876,0.19504262303093850725416071584928007675694540669764
0.22000000000000000111022302462515654042363166809082,3.2200000000000000045796699765787707292474806308746,1.0884649741103848663264531531016600478116304624501,1.5707963267948966192313216916397514420985846996876,0.20352160935888195591541917829796276305994513154228
0.23000000000000000999200722162640886381268501281738,3.2300000000000000047878367936959875805769115686417,1.0934628479563816058726318598150011205230622418875,1.5707963267948966192313216916397514420985846996876,0.21192368563272135567519163042690931306604203033066
0.23999999999999999111821580299874767661094665527344,3.2400000000000000049960036108132044319063425064087,1.0985372091362594347042613158339143227466166669446,1.5707963267948966192313216916397514420985846996876,0.22024872341358047066909041218212110090586758408018
0.25000000000000000000000000000000000000000000000000,3.2500000000000000052041704279304212832357734441757,1.1036870026656683213451993311005643041280854373993,1.5707963267948966192313216916397514420985846996876,0.22849663931733140277250578787553002679312726354611
0.26000000000000000888178419700125232338905334472656,3.2600000000000000054123372450476381345652043819427,1.108911177619568903093897916468634108088161679787,1.5707963267948966192313216916397514420985846996876,0.23666739346593047684142785154868325677596391311354
0.27000000000000001776356839400250464677810668945312,3.2700000000000000056205040621648549858946353197098,1.1142086877449664663036694696963992154893355502543,1.5707963267948966192313216916397514420985846996876,0.24476098793238129462599102111778046649573279394068
